shift_hour,Amplitude_Column1,Amplitude_Column2,Amplitude_Column3,StdDev_Column1,StdDev_Column2,StdDev_Column3
-12,6.177264122601169,6.295911211683334,1.0013154171818783,1.6170867779652753,1.5293789184959548,0.35366597348756645
-11,6.198057840679354,6.377080693558204,1.1000461359193068,1.7611892939038636,1.6723828078571872,0.34957614741269394
-10,6.274117747953035,6.517878809641601,1.1367846361486542,1.9256357604527135,1.8382865697391086,0.3500800996170175
-9,6.324784307423651,6.57934355393784,1.0344036432439196,2.0465993208527635,1.9676872989946645,0.3497255112052614
-8,6.337638786957749,6.653720410438252,1.0264499044316224,2.1282904407501673,2.062467433052565,0.3514244966885839
-7,6.393348537083298,6.670163198904783,1.0447029787342785,2.1826832365613384,2.1367084368399363,0.35122142360283765
-6,6.357265079596907,6.686929871615655,1.0130784500583836,2.218985059686445,2.1966320643029236,0.35181409415977566
-5,6.487973321705267,6.700462787754961,1.0320885437775154,2.23606776530859,2.236054093170461,0.35229985989458923
-4,6.503887561040946,6.704041059714408,1.0031335312579168,2.2399569247513846,2.2608634639923237,0.35264374593096226
-3,6.422905979110084,6.705158120453014,1.001492224218297,2.229488057972182,2.2745401627826167,0.3530929236541937
-2,6.343548532545291,6.694847284328391,1.0015083096845572,2.2058962505362327,2.276118547327341,0.35329355049189654
-1,6.195425297759675,6.620365012959509,1.0006646019956422,2.167921771617746,2.259591599569199,0.35326481691433104
0,5.979469761443708,6.462928707724287,0.9999999478244277,2.1152926187849856,2.2273750388367253,0.3536818892738353
1,5.887587290144442,6.383513559128531,1.02514013786287,2.044581194455047,2.174884205331025,0.3537553865766404
2,5.769921537434854,6.274852466304442,1.0485205214407856,1.9497845281456072,2.0921192977686154,0.35329273874136974
3,5.627065445626222,6.130911551582052,1.0117045010683672,1.8294258683215372,1.980265929566545,0.3530045934752287
4,5.463591229272176,5.952741352246254,1.0427391643096193,1.6760624161709587,1.8301706768034482,0.35255947065400833
5,5.311191500812654,5.771240061719556,1.029381587003403,1.5052258000510066,1.6530225506752312,0.35101158131514526
6,5.322231699935001,5.7461605739414185,1.0141235450737724,1.3512606603091395,1.4844812295075798,0.35205100343151763
7,5.492160252624307,5.691346770668439,1.0838947085761248,1.24299131604056,1.3515946426539271,0.3512355371575126
8,5.764202225626157,6.067516703164135,1.047206325209757,1.3587967305063653,1.4267481413042513,0.3507435433296511
9,5.90516505314058,6.122115052602149,1.0859249548705527,1.261799427780365,1.2931341496114657,0.35023478559046556
10,5.778140737169405,5.813467656017071,1.0429916811872992,1.2157286759731873,1.2197571497031614,0.34938420275119175
11,5.931025310093294,5.990872500167347,1.0774769683324443,1.3537381318474069,1.3137772780265908,0.3496779654978162
12,6.179363839852759,6.297681448754393,1.0013045380868189,1.6169747000051522,1.5294159336339666,0.3536620984552722
