shift_hour,Amplitude_Column1,Amplitude_Column2,Amplitude_Column3,StdDev_Column1,StdDev_Column2,StdDev_Column3
-12,6.16141997860244,6.268144612270181,1.0054740776015407,1.609471639886129,1.5242203525065117,0.3522446671430509
-11,6.251942073190513,6.435652857089163,1.005917386443425,1.7466123679141035,1.6591891520795565,0.3514024916495474
-10,6.302569307308276,6.568516263091293,1.0053208303711578,1.912958885053326,1.8261893127419973,0.3501085648023377
-9,6.32101020378143,6.629651318669552,1.003556351034689,2.035499423408641,1.9573750562519159,0.3498093475905223
-8,6.3238541850460805,6.66647922094535,1.0080924755837586,2.1205581829051803,2.055267678518864,0.34982612031799937
-7,6.4006469060933675,6.6798933333998765,1.0785350736582746,2.174632282534403,2.129132008420739,0.3501352131839812
-6,6.331649410276399,6.679520783776525,1.1064096657149847,2.209058836384979,2.1873231364306034,0.3509458061911031
-5,6.46648948523683,6.6820640525469015,1.1210604643066766,2.2287984614314653,2.228782063707168,0.3509620975804034
-4,6.4678527464717375,6.685176172387624,0.9937061871458255,2.234369541210983,2.2551275003964157,0.35053911493339873
-3,6.400976094961418,6.68698276194446,1.0038781167794042,2.224015049976119,2.2687678231872748,0.3502769230946265
-2,6.3180572715371,6.676497424707069,0.9910795719329357,2.199184599152265,2.268978243214207,0.3499431459308928
-1,6.173586993849053,6.595629905530458,0.9899621651386497,2.1597839641232,2.2508648750756794,0.3494782130313471
0,5.972971943698029,6.455099985259459,0.9913584927992432,2.1037157679017824,2.2148621660622636,0.34977398137480803
1,5.857359004100433,6.346124779846265,1.027920801777185,2.029805859966595,2.15890028028613,0.3502701553505826
2,5.75001410789568,6.246077728041655,1.0518962844551538,1.936964183747768,2.07828611347027,0.3508693824618593
3,5.635617377917894,6.133849104192787,1.0877492537727846,1.8216888030599891,1.971673434267558,0.35216974544547847
4,5.50665516276145,6.022494127056268,1.0380557014424383,1.6792917272280878,1.8331969472725476,0.35291155606186747
5,5.475715664665877,5.917699080039908,1.08219513455402,1.513926358347598,1.6620275710476557,0.3530000879028619
6,5.401719916482762,5.788593836201679,1.0724997293515095,1.3488733707692246,1.4814683861627844,0.35327840884606454
7,5.6317394558317115,5.783018112010602,1.0740162933344486,1.275533873655614,1.3828136912267788,0.3536056929765404
8,5.794789578107288,6.077069761216979,1.0189510707580354,1.3520215835847418,1.421069357955101,0.3534123993179276
9,5.842635258791683,5.991484427345567,1.0218366563800565,1.182392390704076,1.225479828803914,0.3533770414983692
10,5.869517231884636,5.898288542189352,1.0260977369400948,1.224550368389157,1.2287700757737319,0.35335991566676
11,6.025164967903281,6.08178141543817,1.0171280082223575,1.3693102366094039,1.330682458915972,0.3529318767043694
12,6.163699504812854,6.268144612270332,1.0054741052305296,1.6095907220396086,1.524333920341295,0.352244106848786
