shift_hour,Amplitude_Column1,Amplitude_Column2,Amplitude_Column3,StdDev_Column1,StdDev_Column2,StdDev_Column3
-12,6.157660134496604,6.379971575825213,1.0300273811974876,1.6132311503344139,1.5249529195918978,0.3529551072931384
-11,6.5154264472803165,6.605714552382215,1.4592733257341086,1.6578895887119554,1.580993381229933,0.3559439095627045
-10,17.201125640958846,22.29540088901445,1.3233276514600711,4.836620715175585,6.427580948990467,0.34827135260570624
-9,17.634352314627765,22.71530625802472,1.2823317726863288,4.446508246174086,5.730352661255369,0.3497624709591536
-8,16.57971990247762,22.825045775227323,1.1855229840596544,2.4335898008259274,3.2874258238461187,0.34631550790729054
-7,17.545344414038397,22.96829245231696,1.167465938320041,2.604887406930104,3.3960942169946,0.3486271669219661
-6,7.225616723168381,6.739316220214978,1.2789233551096162,2.123802036402631,2.0973578968243847,0.3538861107243361
-5,7.161945671547215,6.821720421083008,1.0719996026408736,2.1867800795159056,2.1752264319544476,0.35366959786392915
-4,6.758214886064485,6.707533193647942,0.9999917206919808,2.2073518325617885,2.226500209433504,0.3532621691744634
-3,6.614385075435354,6.818036619963697,1.0000034477344732,2.2185487689897374,2.260999969194317,0.35319117549328616
-2,6.597273206575374,6.963325037204355,1.0000119282896587,2.191975508551097,2.26270174010531,0.3532069447626169
-1,6.579439048670884,6.760857091031583,1.052278358649676,2.1702421570476074,2.2560078205867007,0.353119267797613
0,5.976590882816591,6.458241952229897,1.170881408146608,2.1057405334202945,2.217183448509434,0.3537884865928855
1,6.47979946437448,6.643615503938985,1.0465173244761368,2.0576934723436415,2.1852462147204688,0.35413293941697144
2,5.91211098356659,6.4686534664055095,1.1055666908167696,1.9587810044704346,2.1042931373262714,0.3542896628819475
3,6.145523440632255,6.590491364154971,1.1261371111204794,1.874708917995193,2.0244632395925306,0.35478430015412765
4,5.975415418694833,6.610197561628787,1.243504722363777,1.7549209840288398,1.9129040182998756,0.35518512022112686
5,5.92896689682875,6.4918217965630705,1.395891841866375,1.6278365988250316,1.7747648290540732,0.3555214572581304
6,5.885796864060017,6.307721096820869,1.331927064087965,1.5286115838907843,1.6779663078873124,0.35612167285986757
7,5.961383530787888,7.310168483787221,1.4370800711141463,1.4072837235671543,1.5158494728503695,0.3567323285165051
8,5.862150796926766,6.459811516508885,1.276645588356192,1.3246612305255359,1.3828112919044222,0.3565498557350735
9,6.094752457615792,6.570693066631067,1.4843523841947168,1.4217872158467866,1.4331207627244402,0.35669232792740524
10,6.43603752651947,6.5743175793252755,1.5065058406838268,1.4221124701373689,1.41327641124243,0.35666799414206624
11,6.314395387665897,6.6222017232624655,1.5041946330430234,1.438750807401053,1.4049751175861283,0.35613766533560576
12,6.158105397202131,6.380525095747384,1.0300464684106951,1.613323799407137,1.52503112420809,0.35295508954079946
