shift_hour,Amplitude_Column1,Amplitude_Column2,Amplitude_Column3,StdDev_Column1,StdDev_Column2,StdDev_Column3
-12,6.309872392928975,6.619770688481248,1.0262351767296778,1.6203010512946796,1.5365921197135382,0.35220867975635733
-11,6.25462432268905,6.435652853502621,1.12354310741933,1.7387968010527366,1.6499623265973162,0.35159361967752845
-10,6.316202689663826,6.664012029752657,1.0053208303711045,1.9142723136637223,1.8299071868037984,0.3501120103602098
-9,6.3210102016257945,6.629241120548075,1.0035056227400183,2.0269155551240146,1.9488366247287594,0.3498691609706364
-8,6.322857460239714,6.673192787731727,1.3094909020613645,2.1159582998658815,2.0557229661391836,0.3501776426544096
-7,6.400646906093533,6.6785734977259015,1.0780257377198517,2.1700770880156104,2.1221131071949917,0.3501351024465695
-6,6.3337248483724515,6.679520783774768,1.1877834395831304,2.2024748537517516,2.182177047569673,0.3509851377181442
-5,6.466489485237197,6.682064052550508,1.1210604643068987,2.2274919606836825,2.2243037039049485,0.35094036009091734
-4,6.467852746471728,6.685176172386335,1.000724413266397,2.223254759061379,2.247657801680834,0.3505047875416736
-3,6.401162207291716,6.686982761945432,1.0038886324704845,2.2229717856824642,2.266947234680854,0.3502990547896205
-2,6.318057271008056,6.676497424705824,1.01061677503953,2.1865520294882157,2.258418785504879,0.35001648506608096
-1,6.3369766262232545,6.672690935133298,1.052438774695844,2.1631396009290014,2.2492864281686664,0.34955025735383305
0,5.943623330390013,6.418629901508774,1.009663212796923,2.091754846001327,2.2019203696307974,0.34984412141406773
1,6.2980197709026235,6.665960258902724,1.0279208023125221,2.036543605438793,2.1620611811220596,0.35027540032116283
2,5.7502498035163825,6.25847106471687,1.0518962844550828,1.9226444687122217,2.0654091174942617,0.3509265550904934
3,6.049642704649237,6.501302833072181,1.0877139307289738,1.8318386757728395,1.9796626297100302,0.35211371073656567
4,5.808358522497969,6.320951408260786,1.0380557014424916,1.6746448135968055,1.8254161463403453,0.35285858541546505
5,5.83483109073979,6.197724119324036,1.5594806523230922,1.5296217863106771,1.6739705737587047,0.3532254310622497
6,5.830301997764632,6.147448460078879,1.0958405263820659,1.357082463021667,1.4861982213644365,0.35326668045132803
7,5.838221499686528,6.0293115954429215,1.2325695724882841,1.3237628848427696,1.4270151820978072,0.3537560600356172
8,6.0156442458232995,6.110887916299032,1.0189170022725875,1.361645173942359,1.4285395914163868,0.35335850765455706
9,6.121016208275182,6.263736803539242,1.037385307278388,1.1979904531705603,1.2423828553222829,0.35358331807263244
10,6.267912133490155,6.484773841052405,1.0325711637547421,1.2413533488137944,1.245315068913847,0.3534373664408568
11,6.197922088670515,6.3188442256094355,1.1496024247137875,1.3724898295521495,1.3358376333132918,0.3529608555483582
12,6.308870495304596,6.6178832392286395,1.0274208952579773,1.62019488156306,1.5364803336734056,0.35220995198189253
